run_tag,text_file,base,pattern_len,regime,repeats,cpu_search_ms_median,cpu_search_ms_cv,cpu_preproc_ms,file_read_ms,gpu_upload_ms_median,gpu_upload_ms_cv,h2d_ms,kernel_ms_median,kernel_ms_cv,d2h_ms,gpu_query_wall_ms_median,gpu_query_wall_ms_cv,cpu_total_ms,gpu_total_ms,speedup,found_total,overflow,same_indices
"benchmark-example:dna","bd/dna.100MB","DNA",16,warm,30,23.2133,5.6744,0.0003,0.0000,0.0000,0.0000,0.0000,10.4328,27.6501,0.0141,11.0906,27.1690,23.2133,11.0906,2.0931,3,0,1
"benchmark-example:dna","bd/dna.100MB","DNA",16,cold,30,23.2133,5.6744,0.0003,208.7037,14.8516,12.7939,0.0000,10.4328,27.6501,0.0141,11.0906,27.1690,231.9173,234.6458,0.9884,3,0,1
"benchmark-example:english","bd/english.100MB","English",64,warm,30,7.4004,8.4700,0.0004,0.0000,0.0000,0.0000,0.0000,2.0340,4.1147,0.0132,2.6150,4.5899,7.4004,2.6150,2.8300,2,0,1
"benchmark-example:english","bd/english.100MB","English",64,cold,30,7.4004,8.4700,0.0004,211.4341,12.1951,8.3183,0.0000,2.0340,4.1147,0.0132,2.6150,4.5899,218.8350,226.2442,0.9673,2,0,1
"benchmark-example:protein","bd/proteins.100MB","Proteins",32,warm,30,10.3254,21.1004,0.0004,0.0000,0.0000,0.0000,0.0000,4.0215,12.2990,0.0136,4.6719,13.3900,10.3254,4.6719,2.2101,1,0,1
"benchmark-example:protein","bd/proteins.100MB","Proteins",32,cold,30,10.3254,21.1004,0.0004,204.7986,11.6095,5.3960,0.0000,4.0215,12.2990,0.0136,4.6719,13.3900,215.1244,221.0800,0.9731,1,0,1
"benchmark-example:dna-extra-8","bd/dna.100MB","DNA",8,warm,30,211.9860,11.7046,0.0004,0.0000,0.0000,0.0000,0.0000,49.3924,16.5631,0.0113,50.0798,16.4551,211.9860,50.0798,4.2330,3211,0,1
"benchmark-example:dna-extra-32","bd/dna.100MB","DNA",32,warm,30,14.6171,12.6532,0.0009,0.0000,0.0000,0.0000,0.0000,4.2196,12.1676,0.0136,4.9721,12.5973,14.6171,4.9721,2.9398,1,0,1
"benchmark-example:dna-extra-64","bd/dna.100MB","DNA",64,warm,30,10.0138,12.9991,0.0009,0.0000,0.0000,0.0000,0.0000,2.2514,6.4116,0.0133,3.0314,7.8023,10.0138,3.0314,3.3033,1,0,1
"benchmark-example:dna-extra-128","bd/dna.100MB","DNA",128,warm,30,9.1589,28.3614,0.0008,0.0000,0.0000,0.0000,0.0000,1.2722,3.2032,0.0133,2.0313,7.9513,9.1589,2.0313,4.5089,1,0,1
"benchmark-example:english-extra-8","bd/english.100MB","English",8,warm,30,243.5928,8.5058,0.0002,0.0000,0.0000,0.0000,0.0000,48.5744,11.0777,0.0114,49.4061,10.8966,243.5928,49.4061,4.9304,3475,0,1
"benchmark-example:english-extra-16","bd/english.100MB","English",16,warm,30,26.8732,15.1989,0.0004,0.0000,0.0000,0.0000,0.0000,9.9168,23.3800,0.0141,10.5797,22.4001,26.8732,10.5797,2.5401,1,0,1
"benchmark-example:english-extra-32","bd/english.100MB","English",32,warm,30,12.0878,19.3275,0.0008,0.0000,0.0000,0.0000,0.0000,4.0301,4.2212,0.0136,4.8296,5.4857,12.0878,4.8296,2.5028,1,0,1
"benchmark-example:english-extra-128","bd/english.100MB","English",128,warm,30,7.4493,19.2833,0.0005,0.0000,0.0000,0.0000,0.0000,1.2416,6.8009,0.0132,1.9109,9.2049,7.4493,1.9109,3.8983,1,0,1
"benchmark-example:protein-extra-8","bd/proteins.100MB","Proteins",8,warm,30,242.6092,9.6501,0.0008,0.0000,0.0000,0.0000,0.0000,48.8944,10.7522,0.0133,49.7373,10.5843,242.6092,49.7373,4.8778,1,0,1
"benchmark-example:protein-extra-16","bd/proteins.100MB","Proteins",16,warm,30,24.2606,10.1896,0.0008,0.0000,0.0000,0.0000,0.0000,9.9226,21.7381,0.0140,10.5914,21.1961,24.2606,10.5914,2.2906,1,0,1
"benchmark-example:protein-extra-64","bd/proteins.100MB","Proteins",64,warm,30,8.7545,12.6758,0.0004,0.0000,0.0000,0.0000,0.0000,2.8228,5.2397,0.0132,3.5189,4.2919,8.7545,3.5189,2.4879,55,0,1
"benchmark-example:protein-extra-128","bd/proteins.100MB","Proteins",128,warm,30,7.1075,15.0215,0.0004,0.0000,0.0000,0.0000,0.0000,1.8414,9.1290,0.0132,2.5084,8.0600,7.1075,2.5084,2.8335,24,0,1
