run_tag,text_file,base,pattern_len,regime,repeats,cpu_search_ms_median,cpu_search_ms_cv,cpu_preproc_ms,file_read_ms,gpu_upload_ms_median,gpu_upload_ms_cv,h2d_ms,kernel_ms_median,kernel_ms_cv,d2h_ms,gpu_query_wall_ms_median,gpu_query_wall_ms_cv,cpu_total_ms,gpu_total_ms,speedup,found_total,overflow,same_indices,text_bytes,probes,filter_candidates,chain_verifications,memcmp_calls,matches
"benchmark-example:dna","bd/dna.100MB","DNA",16,warm,30,23.2135,5.4547,0.0003,0.0000,0.0000,0.0000,0.0000,14.1809,27.0656,0.0196,14.8835,26.2558,23.2135,14.8835,1.5597,3,0,1,104858217,11699827,55030,884,4,3
"benchmark-example:dna","bd/dna.100MB","DNA",16,cold,30,23.2135,5.4547,0.0003,78.6547,10.6717,5.4345,0.0000,14.1809,27.0656,0.0196,14.8835,26.2558,101.8685,104.2100,0.9775,3,0,1,104858217,11699827,55030,884,4,3
"benchmark-example:english","bd/english.100MB","English",64,warm,30,6.1956,11.8316,0.0004,0.0000,0.0000,0.0000,0.0000,2.0321,3.9952,0.0128,2.5477,6.4202,6.1956,2.5477,2.4318,2,0,1,104857600,1843286,25292,2,2,2
"benchmark-example:english","bd/english.100MB","English",64,cold,30,6.1956,11.8316,0.0004,75.3563,10.6000,7.7731,0.0000,2.0321,3.9952,0.0128,2.5477,6.4202,81.5523,88.5041,0.9215,2,0,1,104857600,1843286,25292,2,2,2
"benchmark-example:protein","bd/proteins.100MB","Proteins",32,warm,30,9.1075,7.7351,0.0002,0.0000,0.0000,0.0000,0.0000,4.0092,0.8483,0.0132,4.5587,2.2904,9.1075,4.5587,1.9978,1,0,1,105217104,4218512,29849,1,1,1
"benchmark-example:protein","bd/proteins.100MB","Proteins",32,cold,30,9.1075,7.7351,0.0002,82.1740,10.4573,7.1077,0.0000,4.0092,0.8483,0.0132,4.5587,2.2904,91.2817,97.1900,0.9392,1,0,1,105217104,4218512,29849,1,1,1
"benchmark-example:dna-extra-8","bd/dna.100MB","DNA",8,warm,30,186.4834,2.9956,0.0005,0.0000,0.0000,0.0000,0.0000,63.2853,11.8480,0.0124,64.4992,11.7598,186.4834,64.4992,2.8913,3211,0,1,104858217,104858210,36021,36021,22729,3211
"benchmark-example:dna-extra-32","bd/dna.100MB","DNA",32,warm,30,9.1217,10.5803,0.0004,0.0000,0.0000,0.0000,0.0000,4.1499,0.9975,0.0132,4.7356,2.1629,9.1217,4.7356,1.9262,1,0,1,104858217,4205802,34690,1,1,1
"benchmark-example:dna-extra-64","bd/dna.100MB","DNA",64,warm,30,6.4798,9.4525,0.0004,0.0000,0.0000,0.0000,0.0000,2.2403,1.8759,0.0129,2.7760,3.5041,6.4798,2.7760,2.3342,1,0,1,104858217,1847194,48506,1,1,1
"benchmark-example:dna-extra-128","bd/dna.100MB","DNA",128,warm,30,4.6315,8.8795,0.0004,0.0000,0.0000,0.0000,0.0000,1.2620,0.5810,0.0128,1.7448,6.6590,4.6315,1.7448,2.6545,1,0,1,104858217,869433,40452,1,1,1
"benchmark-example:english-extra-8","bd/english.100MB","English",8,warm,30,186.4527,3.1366,0.0003,0.0000,0.0000,0.0000,0.0000,56.6595,13.6996,0.0109,57.6059,13.6268,186.4527,57.6059,3.2367,3475,0,1,104857600,104857593,29404,29404,15132,3475
"benchmark-example:english-extra-16","bd/english.100MB","English",16,warm,30,23.0166,8.4655,0.0004,0.0000,0.0000,0.0000,0.0000,16.5307,26.5798,0.0245,17.2951,25.9278,23.0166,17.2951,1.3308,1,0,1,104857600,11675448,27680,817,3,1
"benchmark-example:english-extra-32","bd/english.100MB","English",32,warm,30,9.3635,10.4936,0.0003,0.0000,0.0000,0.0000,0.0000,3.9581,0.9113,0.0131,4.5693,2.2504,9.3635,4.5693,2.0492,1,0,1,104857600,4203195,26883,1,1,1
"benchmark-example:english-extra-128","bd/english.100MB","English",128,warm,30,4.7483,8.4898,0.0006,0.0000,0.0000,0.0000,0.0000,1.2356,1.3286,0.0128,1.7696,4.1537,4.7483,1.7696,2.6832,1,0,1,104857600,868536,28449,1,1,1
"benchmark-example:protein-extra-8","bd/proteins.100MB","Proteins",8,warm,30,194.7837,3.1761,0.0002,0.0000,0.0000,0.0000,0.0000,55.0600,12.9212,0.0140,56.3918,13.0453,194.7837,56.3918,3.4541,1,0,1,105217104,105217097,25733,25733,25523,1
"benchmark-example:protein-extra-16","bd/proteins.100MB","Proteins",16,warm,30,22.9506,12.9819,0.0002,0.0000,0.0000,0.0000,0.0000,9.9258,27.4690,0.0137,10.6562,26.7746,22.9506,10.6562,2.1537,1,0,1,105217104,11715571,27881,1278,3,1
"benchmark-example:protein-extra-64","bd/proteins.100MB","Proteins",64,warm,30,6.4162,13.2285,0.0004,0.0000,0.0000,0.0000,0.0000,2.7846,1.6100,0.0128,3.3428,4.8326,6.4162,3.3428,1.9194,55,0,1,105217104,1850999,30893,55,55,55
"benchmark-example:protein-extra-128","bd/proteins.100MB","Proteins",128,warm,30,5.0221,13.3896,0.0004,0.0000,0.0000,0.0000,0.0000,1.8285,0.5560,0.0128,2.3403,5.2380,5.0221,2.3403,2.1459,24,0,1,105217104,871912,30337,24,24,24
